Player,Team,Positions,GP,MIN,FGM,FGA,FG%,FTM,FTA,FT%,3PM,PTS,REB,AST,STL,BLK,TO
Nikola Jokic,DEN,C,79,34.8,10.6,18.1,0.583,4.6,5.6,0.821,1.1,26.8,12.5,9.2,1.4,0.9,3.0
Victor Wembanyama,SAS,PF/C,76,32.5,8.8,18.4,0.478,5.1,6.3,0.815,2.3,24.8,11.9,4.3,1.4,3.8,3.3
Shai Gilgeous-Alexander,OKC,PG,77,34.5,10.6,19.7,0.538,7.8,8.9,0.878,1.4,30.4,5.6,6.4,2.1,0.9,2.2
Luka Doncic,LAL,PG,74,37.0,11.2,23.1,0.489,6.7,8.6,0.785,3.8,32.8,9.0,9.5,1.5,0.6,3.9
Anthony Edwards,MIN,SG/SF,79,35.4,9.4,20.1,0.468,5.4,6.4,0.84,3.0,26.9,5.7,5.3,1.4,0.6,3.0
Giannis Antetokounmpo,MIA,PF/C,75,35.0,11.6,18.9,0.615,7.1,10.8,0.66,0.5,30.8,11.6,6.6,1.3,1.2,3.4
Cade Cunningham,DET,PG/SG,75,34.5,8.9,19.4,0.458,4.4,5.1,0.875,2.3,24.5,4.6,8.2,1.2,0.5,3.3
Anthony Davis,DAL,PF/C,75,35.2,9.3,16.8,0.554,5.5,6.7,0.818,0.4,24.2,12.4,3.6,1.2,2.2,2.0
Trae Young,WAS,PG,74,35.8,8.2,18.8,0.435,7.3,8.5,0.862,3.4,26.2,2.9,11.0,1.4,0.2,4.3
Devin Booker,PHX,PG/SG,73,35.8,9.5,19.2,0.495,6.1,6.9,0.889,2.3,27.3,4.6,7.1,1.0,0.4,2.5
Kevin Durant,HOU,SF/PF,74,36.5,9.5,18.1,0.526,5.5,6.4,0.86,2.1,26.5,6.4,5.1,0.9,1.2,3.2
Jayson Tatum,BOS,SF/PF,76,35.5,9.2,19.4,0.475,5.8,7.0,0.838,3.2,27.2,8.3,5.0,1.1,0.6,2.5
Joel Embiid,PHI,C,62,33.0,10.5,20.0,0.525,9.5,10.8,0.88,1.3,31.8,10.8,5.4,1.1,1.6,3.5
Tyrese Haliburton,IND,PG,72,32.5,7.6,15.8,0.48,2.9,3.4,0.86,2.9,20.5,4.0,11.2,1.3,0.7,2.3
Stephen Curry,GSW,PG,73,32.5,8.7,19.2,0.452,4.3,4.7,0.925,4.7,26.0,4.4,5.2,0.8,0.4,2.7
Donovan Mitchell,CLE,PG/SG,72,35.0,9.1,19.6,0.465,5.2,6.0,0.868,3.4,26.8,5.2,6.3,1.8,0.5,2.7
Domantas Sabonis,SAC,PF/C,81,35.5,7.8,13.0,0.598,3.8,5.4,0.708,0.4,19.6,13.8,8.4,0.9,0.6,3.3
Chet Holmgren,OKC,PF/C,79,31.0,6.4,12.0,0.535,3.1,3.9,0.8,1.8,17.5,8.4,2.6,0.7,2.4,1.6
Bam Adebayo,MIA,C,75,34.2,7.6,14.5,0.525,4.4,5.8,0.76,0.5,19.5,10.5,4.0,1.2,1.0,2.3
Jalen Brunson,NYK,PG,78,35.2,10.1,21.0,0.482,5.6,6.6,0.85,2.8,28.9,3.7,6.8,1.0,0.2,2.4
Karl-Anthony Towns,NYK,PF/C,75,33.5,8.2,15.9,0.515,4.5,5.2,0.87,2.2,22.8,10.8,3.2,0.7,1.2,2.4
Paul George,PHI,SG/SF,73,33.5,7.8,16.5,0.473,4.4,4.9,0.905,3.3,22.4,5.3,3.6,1.5,0.5,2.1
